Pickup_Point__1,Type__1,Appendix__1,StartDate1,EndDate1
111021417,Milk Collection (SE),950,01/09/2020,31/12/4000
111021417,Milk Collection (SE),970,01/09/2020,31/12/4000
111021417,Miscellaneous,6007,01/06/2020,31/12/2020
111021421,Miscellaneous,6007,01/06/2020,31/12/2020
111021421,Milk Collection (SE),955,01/09/2020,31/12/4000
111021421,Miscellaneous,6014,01/09/2020,30/11/2020
111021423,Milk Collection (SE),955,01/09/2020,31/12/4000
111021423,Miscellaneous,6014,01/09/2020,30/11/2020
111021456,Milk Collection (SE),955,01/09/2020,31/12/4000
111021456,Miscellaneous,6014,01/09/2020,30/11/2020
111021456,Miscellaneous,6007,01/06/2020,31/12/2020
111021473,Miscellaneous,6007,01/06/2020,31/12/2020
111021473,Milk Collection (SE),955,01/09/2020,31/12/4000
111021473,Milk Collection (SE),970,01/09/2020,31/12/4000
111021473,Miscellaneous,6014,01/09/2020,30/11/2020
111021473,Milk Collection (SE),950,01/09/2020,31/12/4000
111022112,Miscellaneous,6014,01/09/2020,30/11/2020
111022112,Miscellaneous,6007,01/06/2020,31/12/2020
111022112,Milk Standard (SE),OR,01/09/2020,31/12/4000
111022118,Milk Standard (SE),OR,01/09/2020,31/12/4000
111022156,Milk Collection (SE),950,01/09/2020,31/12/4000
111022156,Miscellaneous,6014,01/09/2020,30/11/2020
111022156,Miscellaneous,6007,01/06/2020,31/12/2020
111022156,Milk Collection (SE),970,01/09/2020,31/12/4000
111022159,Milk Collection (SE),955,01/09/2020,31/12/4000
111022250,Milk Collection (SE),950,01/09/2020,31/12/4000
111022255,Miscellaneous,6014,01/09/2020,30/11/2020
111022255,Milk Collection (SE),955,01/09/2020,31/12/4000
111022255,Miscellaneous,6007,01/06/2020,31/12/2020
111022255,Milk Collection (SE),950,01/09/2020,31/12/4000
111022255,Milk Collection (SE),970,01/09/2020,31/12/4000
111022256,Miscellaneous,6014,01/09/2020,30/11/2020
111022256,Milk Collection (SE),955,01/09/2020,31/12/4000
111022256,Miscellaneous,6007,01/06/2020,31/12/2020
111022263,Milk Collection (SE),955,01/09/2020,31/12/4000
111022264,Miscellaneous,6007,01/06/2020,31/12/2020
111022264,Miscellaneous,6014,01/09/2020,30/11/2020
111022264,Milk Collection (SE),957,01/09/2020,31/12/4000
111022264,Milk Collection (SE),955,01/09/2020,31/12/4000
111022271,Miscellaneous,6007,01/06/2020,31/12/2020
111022271,Miscellaneous,6014,01/09/2020,30/11/2020
111022274,Milk Collection (SE),950,01/09/2020,31/12/4000
111022274,Milk Collection (SE),955,01/09/2020,31/12/4000
111022274,Milk Collection (SE),957,01/09/2020,31/12/4000
111022318,Miscellaneous,6014,01/09/2020,30/11/2020
111022318,Miscellaneous,6007,01/06/2020,31/12/2020
111022320,Miscellaneous,6014,01/09/2020,30/11/2020
111022320,Miscellaneous,6007,01/06/2020,31/12/2020
111022320,Milk Collection (SE),950,01/09/2020,31/12/4000
111022320,Milk Collection (SE),955,01/09/2020,31/12/4000
111022320,Milk Collection (SE),970,01/09/2020,31/12/4000
111022327,Milk Collection (SE),970,01/09/2020,31/12/4000
111022327,Miscellaneous,6014,01/09/2020,30/11/2020
111022327,Milk Collection (SE),950,01/09/2020,31/12/4000
111022327,Miscellaneous,6007,01/06/2020,31/12/2020
111022328,Miscellaneous,6014,01/09/2020,30/11/2020
111022328,Miscellaneous,6007,01/06/2020,31/12/2020
111022331,Milk Collection (SE),955,01/09/2020,31/12/4000
111022331,Miscellaneous,6014,01/09/2020,30/11/2020
111022331,Miscellaneous,6007,01/06/2020,31/12/2020
111022333,Miscellaneous,6007,01/06/2020,31/12/2020
111022333,Milk Collection (SE),970,01/09/2020,31/12/4000
111022333,Miscellaneous,6014,01/09/2020,30/11/2020
111022333,Milk Collection (SE),955,01/09/2020,31/12/4000
111022333,Milk Collection (SE),950,01/09/2020,31/12/4000
111022341,Miscellaneous,6007,01/06/2020,31/12/2020
111022341,Miscellaneous,6014,01/09/2020,30/11/2020
111022343,Miscellaneous,6014,01/09/2020,30/11/2020
111022343,Milk Collection (SE),955,01/09/2020,31/12/4000
111022343,Miscellaneous,6007,01/06/2020,31/12/2020
111022343,Milk Collection (SE),957,01/09/2020,31/12/4000
111022357,Miscellaneous,6007,01/06/2020,31/12/2020
111022357,Milk Collection (SE),955,01/09/2020,31/12/4000
111022361,Miscellaneous,6014,01/09/2020,30/11/2020
111022361,Milk Collection (SE),950,01/09/2020,31/12/4000
111022361,Miscellaneous,6007,01/06/2020,31/12/2020
111022361,Milk Collection (SE),955,01/09/2020,31/12/4000
111022362,Miscellaneous,6007,01/06/2020,31/12/2020
111022362,Milk Collection (SE),955,01/09/2020,31/12/4000
111022362,Milk Collection (SE),957,01/09/2020,31/12/4000
111022362,Milk Collection (SE),950,01/09/2020,31/12/4000
111022362,Milk Collection (SE),970,01/09/2020,31/12/4000
111022362,Miscellaneous,6014,01/09/2020,30/11/2020
111022407,Milk Standard (SE),OR,01/09/2020,31/12/4000
111022407,Miscellaneous,6007,01/06/2020,31/12/2020
111022407,Milk Collection (SE),955,01/09/2020,31/12/4000
111022407,Miscellaneous,6014,01/09/2020,30/11/2020
111022418,Miscellaneous,6014,01/09/2020,30/11/2020
111022418,Miscellaneous,6007,01/06/2020,31/12/2020
111022425,Miscellaneous,6014,01/09/2020,30/11/2020
111022438,Miscellaneous,6014,01/09/2020,30/11/2020
111022438,Miscellaneous,6007,01/06/2020,31/12/2020
111022458,Milk Collection (SE),970,01/09/2020,31/12/4000
111022458,Miscellaneous,6007,01/06/2020,31/12/2020
111022458,Milk Collection (SE),950,01/09/2020,31/12/4000
111022458,Milk Collection (SE),955,01/09/2020,31/12/4000
111022458,Miscellaneous,6014,01/09/2020,30/11/2020
111022469,Miscellaneous,6014,01/09/2020,30/11/2020
111022469,Milk Collection (SE),955,01/09/2020,31/12/4000
111022469,Miscellaneous,6007,01/06/2020,31/12/2020
111022469,Milk Collection (SE),970,01/09/2020,31/12/4000
111023109,Miscellaneous,6007,01/06/2020,31/12/2020
111023109,Miscellaneous,6014,01/09/2020,30/11/2020
111023123,Miscellaneous,6007,01/06/2020,31/12/2020
111023123,Milk Collection (SE),970,01/09/2020,31/12/4000
111023123,Miscellaneous,6014,01/09/2020,30/11/2020
111023155,Miscellaneous,6007,01/06/2020,31/12/2020
111023155,Milk Collection (SE),970,01/09/2020,31/12/4000
111023155,Milk Collection (SE),955,01/09/2020,31/12/4000
111023155,Milk Collection (SE),950,01/09/2020,31/12/4000
111023155,Miscellaneous,6014,01/09/2020,30/11/2020
111023174,Milk Collection (SE),950,01/09/2020,31/12/4000
111023174,Milk Collection (SE),970,01/09/2020,31/12/4000
111023174,Miscellaneous,6007,01/06/2020,31/12/2020
111023174,Milk Collection (SE),955,01/09/2020,31/12/4000
111023174,Miscellaneous,6014,01/09/2020,30/11/2020
111023208,Milk Collection (SE),955,01/09/2020,31/12/4000
111023211,Milk Collection (SE),970,01/09/2020,31/12/4000
111023211,Milk Collection (SE),950,01/09/2020,31/12/4000
111023211,Milk Collection (SE),955,01/09/2020,31/12/4000
111023211,Miscellaneous,6007,01/06/2020,31/12/2020
111023211,Miscellaneous,6014,01/09/2020,30/11/2020
111023214,Miscellaneous,6014,01/09/2020,30/11/2020
111023214,Milk Collection (SE),955,01/09/2020,31/12/4000
111023214,Miscellaneous,6007,01/06/2020,31/12/2020
111023214,Milk Collection (SE),957,01/09/2020,31/12/4000
111023220,Milk Collection (SE),950,01/09/2020,31/12/4000
111023220,Miscellaneous,6014,01/09/2020,30/11/2020
111023220,Miscellaneous,6007,01/06/2020,31/12/2020
111023252,Milk Collection (SE),955,01/09/2020,31/12/4000
111023252,Milk Collection (SE),957,01/09/2020,31/12/4000
111023252,Miscellaneous,6014,01/09/2020,30/11/2020
111023252,Milk Collection (SE),950,01/09/2020,31/12/4000
111023252,Miscellaneous,6007,01/06/2020,31/12/2020
111023254,Miscellaneous,6007,01/06/2020,31/12/2020
111023254,Milk Collection (SE),950,01/09/2020,31/12/4000
111023254,Milk Collection (SE),970,01/09/2020,31/12/4000
111023254,Miscellaneous,6014,01/09/2020,30/11/2020
111023264,Miscellaneous,6007,01/06/2020,31/12/2020
111023264,Milk Collection (SE),950,01/09/2020,31/12/4000
111023264,Miscellaneous,6014,01/09/2020,30/11/2020
111023264,Milk Standard (SE),OR,01/09/2020,31/12/4000
111023265,Milk Collection (SE),955,01/09/2020,31/12/4000
111023265,Milk Collection (SE),970,01/09/2020,31/12/4000
111023265,Miscellaneous,6007,01/06/2020,31/12/2020
111023265,Milk Collection (SE),950,01/09/2020,31/12/4000
111023265,Miscellaneous,6014,01/09/2020,30/11/2020
111023265,Milk Standard (SE),OR,01/09/2020,31/12/4000
111023270,Miscellaneous,6007,01/06/2020,31/12/2020
111023270,Miscellaneous,6014,01/09/2020,30/11/2020
111023300,Milk Collection (SE),950,01/09/2020,31/12/4000
111023300,Milk Standard (SE),OR,01/09/2020,31/12/4000
111023302,Miscellaneous,6007,01/06/2020,31/12/2020
111023302,Milk Collection (SE),950,01/09/2020,31/12/4000
111023302,Milk Collection (SE),955,01/09/2020,31/12/4000
111023302,Miscellaneous,6014,01/09/2020,30/11/2020
111023302,Milk Collection (SE),970,01/09/2020,31/12/4000
111023304,Miscellaneous,6014,01/09/2020,30/11/2020
111023304,Miscellaneous,6007,01/06/2020,31/12/2020
111023305,Milk Collection (SE),955,01/09/2020,31/12/4000
111023312,Milk Collection (SE),955,01/09/2020,31/12/4000
111023312,Miscellaneous,6014,01/09/2020,30/11/2020
111023312,Miscellaneous,6007,01/06/2020,31/12/2020
111023321,Milk Collection (SE),955,01/09/2020,31/12/4000
111023325,Miscellaneous,6014,01/09/2020,30/11/2020
111023325,Miscellaneous,6007,01/06/2020,31/12/2020
111023326,Milk Collection (SE),970,01/09/2020,31/12/4000
111023326,Milk Collection (SE),955,01/09/2020,31/12/4000
111023326,Miscellaneous,6014,01/09/2020,30/11/2020
111023326,Milk Collection (SE),950,01/09/2020,31/12/4000
111023326,Miscellaneous,6007,01/06/2020,31/12/2020
111023328,Milk Collection (SE),970,01/09/2020,31/12/4000
111023328,Miscellaneous,6007,01/06/2020,31/12/2020
111023328,Milk Collection (SE),950,01/09/2020,31/12/4000
111023328,Milk Collection (SE),926,01/09/2020,31/12/4000
111023328,Milk Collection (SE),955,01/09/2020,31/12/4000
111023328,Miscellaneous,6014,01/09/2020,30/11/2020
111023353,Miscellaneous,6007,01/06/2020,31/12/2020
111023353,Milk Collection (SE),970,01/09/2020,31/12/4000
111023353,Milk Collection (SE),950,01/09/2020,31/12/4000
111023353,Milk Collection (SE),955,01/09/2020,31/12/4000
111023353,Miscellaneous,6014,01/09/2020,30/11/2020
111023375,Milk Collection (SE),950,01/09/2020,31/12/4000
111023375,Miscellaneous,6007,01/06/2020,31/12/2020
111023375,Milk Collection (SE),970,01/09/2020,31/12/4000
111023375,Miscellaneous,6014,01/09/2020,30/11/2020
111023375,Milk Collection (SE),955,01/09/2020,31/12/4000
111023401,Miscellaneous,6007,01/06/2020,31/12/2020
111023401,Miscellaneous,6014,01/09/2020,30/11/2020
111023425,Milk Collection (SE),950,01/09/2020,31/12/4000
111023425,Milk Collection (SE),957,01/09/2020,31/12/4000
111023425,Milk Collection (SE),955,01/09/2020,31/12/4000
111023425,Miscellaneous,6014,01/09/2020,30/11/2020
111023425,Miscellaneous,6007,01/06/2020,31/12/2020
111023425,Milk Collection (SE),970,01/09/2020,31/12/4000
111023426,Miscellaneous,6007,01/06/2020,31/12/2020
111023426,Miscellaneous,6014,01/09/2020,30/11/2020
111023429,Milk Collection (SE),950,01/09/2020,31/12/4000
111023429,Milk Collection (SE),955,01/09/2020,31/12/4000
111023434,Milk Collection (SE),955,01/09/2020,31/12/4000
111023462,Miscellaneous,6014,01/09/2020,30/11/2020
111023462,Miscellaneous,6007,01/06/2020,31/12/2020
111023462,Milk Collection (SE),955,01/09/2020,31/12/4000
111023466,Miscellaneous,6007,01/06/2020,31/12/2020
111023466,Miscellaneous,6014,01/09/2020,30/11/2020
111023472,Miscellaneous,6014,01/09/2020,30/11/2020
111024151,Miscellaneous,6007,01/06/2020,31/12/2020
111024151,Miscellaneous,6014,01/09/2020,30/11/2020
111024151,Milk Collection (SE),955,01/09/2020,31/12/4000
111024151,Milk Standard (SE),OR,01/09/2020,31/12/4000
111024205,Milk Collection (SE),970,01/09/2020,31/12/4000
111024205,Miscellaneous,6014,01/09/2020,30/11/2020
111024205,Miscellaneous,6007,01/06/2020,31/12/2020
111024205,Milk Collection (SE),955,01/09/2020,31/12/4000
111024205,Milk Collection (SE),950,01/09/2020,31/12/4000
111024206,Miscellaneous,6014,01/09/2020,30/11/2020
111024206,Miscellaneous,6007,01/06/2020,31/12/2020
111024219,Miscellaneous,6014,01/09/2020,30/11/2020
111024219,Milk Collection (SE),950,01/09/2020,31/12/4000
111024219,Miscellaneous,6007,01/06/2020,31/12/2020
111024220,Milk Collection (SE),955,01/09/2020,31/12/4000
111024220,Milk Collection (SE),970,01/09/2020,31/12/4000
111024224,Milk Collection (SE),955,01/09/2020,31/12/4000
111024263,Miscellaneous,6007,01/06/2020,31/12/2020
111024263,Milk Collection (SE),970,01/09/2020,31/12/4000
111024263,Miscellaneous,6014,01/09/2020,30/11/2020
111024263,Milk Collection (SE),955,01/09/2020,31/12/4000
111024263,Milk Collection (SE),950,01/09/2020,31/12/4000
111024311,Miscellaneous,6014,01/09/2020,30/11/2020
111024311,Miscellaneous,6007,01/06/2020,31/12/2020
111024311,Milk Collection (SE),955,01/09/2020,31/12/4000
111024314,Miscellaneous,6014,01/09/2020,30/11/2020
111024314,Miscellaneous,6007,01/06/2020,31/12/2020
111024316,Miscellaneous,6007,01/06/2020,31/12/2020
111024316,Miscellaneous,6014,01/09/2020,30/11/2020
111024319,Miscellaneous,6007,01/06/2020,31/12/2020
111024319,Milk Collection (SE),970,01/09/2020,31/12/4000
111024319,Milk Collection (SE),955,01/09/2020,31/12/4000
111024319,Milk Collection (SE),957,01/09/2020,31/12/4000
111024319,Milk Collection (SE),950,01/09/2020,31/12/4000
111024319,Miscellaneous,6014,01/09/2020,30/11/2020
111024320,Miscellaneous,6007,01/06/2020,31/12/2020
111024320,Miscellaneous,6014,01/09/2020,30/11/2020
111024359,Miscellaneous,6007,01/06/2020,31/12/2020
111024359,Miscellaneous,6014,01/09/2020,30/11/2020
111024403,Miscellaneous,6007,01/06/2020,31/12/2020
111024403,Miscellaneous,6014,01/09/2020,30/11/2020
111024407,Miscellaneous,6014,01/09/2020,30/11/2020
111024425,Miscellaneous,6007,01/06/2020,31/12/2020
111024425,Miscellaneous,6014,01/09/2020,30/11/2020
111024428,Miscellaneous,6007,01/06/2020,31/12/2020
111024428,Miscellaneous,6014,01/09/2020,30/11/2020
111024429,Milk Collection (SE),950,01/09/2020,31/12/4000
111024429,Miscellaneous,6007,01/06/2020,31/12/2020
111024429,Miscellaneous,6014,01/09/2020,30/11/2020
111024429,Milk Collection (SE),970,01/09/2020,31/12/4000
111024429,Milk Collection (SE),955,01/09/2020,31/12/4000
111024433,Miscellaneous,6007,01/06/2020,31/12/2020
111024433,Miscellaneous,6014,01/09/2020,30/11/2020
111024453,Miscellaneous,6014,01/09/2020,30/11/2020
111024456,Miscellaneous,6014,01/09/2020,30/11/2020
111025201,Milk Collection (SE),955,01/09/2020,31/12/4000
111025201,Miscellaneous,6014,01/09/2020,30/11/2020
111025201,Miscellaneous,6007,01/06/2020,31/12/2020
111025203,Miscellaneous,6007,01/06/2020,31/12/2020
111025203,Miscellaneous,6014,01/09/2020,30/11/2020
111025203,Milk Collection (SE),955,01/09/2020,31/12/4000
111025203,Milk Collection (SE),970,01/09/2020,31/12/4000
111025203,Milk Collection (SE),926,01/09/2020,31/12/4000
111025206,Miscellaneous,6014,01/09/2020,30/11/2020
111025206,Miscellaneous,6007,01/06/2020,31/12/2020
111025208,Miscellaneous,6014,01/09/2020,30/11/2020
111025208,Miscellaneous,6007,01/06/2020,31/12/2020
111025208,Milk Collection (SE),950,01/09/2020,31/12/4000
111025208,Milk Collection (SE),970,01/09/2020,31/12/4000
111025258,Milk Collection (SE),950,01/09/2020,31/12/4000
111025267,Milk Collection (SE),955,01/09/2020,31/12/4000
111025267,Miscellaneous,6007,01/06/2020,31/12/2020
111025267,Miscellaneous,6014,01/09/2020,30/11/2020
111025268,Miscellaneous,6007,01/06/2020,31/12/2020
111025268,Miscellaneous,6014,01/09/2020,30/11/2020
111025273,Milk Collection (SE),950,01/09/2020,31/12/4000
111025273,Miscellaneous,6007,01/06/2020,31/12/2020
111025273,Miscellaneous,6014,01/09/2020,30/11/2020
111025273,Milk Collection (SE),970,01/09/2020,31/12/4000
